video_id,trending_date,views,likes,comment_count,previous_views,view_growth,view_growth_pct,view_velocity,engagement_rate,growth_score,engagement_score,trend_velocity_score,trend_status,velocity_percentile,engagement_percentile,emerging_trend_score,emerging_status,trend_alert,first_trending_date,days_since_first_trending,emerging_date,time_to_trend_days
-0N9r10xb_0,2017-11-19,71064,1061,16,,,,,1.5155352921310368,,58.62438725490197,,,,58.62438725490197,,,False,2017-11-19,0,2017-11-20,1.0
-0N9r10xb_0,2017-11-20,133438,1381,39,71064.0,62374.0,87.77158617584149,0.8777158617584149,1.0641646307648496,87.089072543618,49.90502450980392,75.93385813347378,Hot,87.089072543618,49.90502450980392,72.21545333009237,Emerging,True,2017-11-19,1,2017-11-20,1.0
-0WuM6ctLHg,2018-02-11,179951,3076,82,,,,,1.7549221732582758,,62.05882352941177,,,,62.05882352941177,,,False,2018-02-11,0,2018-02-12,1.0
-0WuM6ctLHg,2018-02-12,310078,3878,94,179951.0,130127.0,72.31246283710566,0.7231246283710565,1.2809680144995774,82.39363330272421,54.788602941176464,74.11212419425988,Hot,82.39363330272421,54.788602941176464,71.3516211581051,Emerging,True,2018-02-11,1,2018-02-12,1.0
-0WuM6ctLHg,2018-02-13,333432,4086,96,310078.0,23354.0,7.531653325937344,0.07531653325937344,1.2542287482905061,13.045607591062137,54.270833333333336,25.413175313743494,Normal,13.045607591062137,54.270833333333336,29.535697887970617,Normal,False,2018-02-11,2,2018-02-12,1.0
-20cEGjbyGY,2018-03-01,392823,45122,3045,,,,,12.261756567207113,,98.09436274509804,,,,98.09436274509804,,,False,2018-03-01,0,2018-03-02,1.0
-20cEGjbyGY,2018-03-02,514929,51228,3395,392823.0,122106.0,31.0842287747917,0.310842287747917,10.607870211233005,54.94337312519131,96.78308823529412,67.49528765822214,Hot,54.94337312519131,96.78308823529412,71.67925916923244,Emerging,True,2018-03-01,1,2018-03-02,1.0
-20cEGjbyGY,2018-03-03,564598,53406,3315,514929.0,49669.0,9.645795828162719,0.09645795828162719,10.046263004828214,17.698194061830424,96.18566176470588,41.244434372693064,Growing,17.698194061830424,96.18566176470588,49.09318114298061,Growing,False,2018-03-01,2,2018-03-02,1.0
-2qGKp-Jp8c,2018-01-03,43554,1247,55,,,,,2.9893924783027965,,74.00735294117648,,,,74.00735294117648,,,False,2018-01-03,0,2018-01-04,1.0
-2qGKp-Jp8c,2018-01-04,101830,2182,93,43554.0,58276.0,133.80171740827478,1.3380171740827478,2.23411568300108,93.9761248852158,67.56433823529412,86.05258889023929,Viral,93.9761248852158,67.56433823529412,83.41141022524712,Hot,True,2018-01-03,1,2018-01-04,1.0
